task,variant,model,time_ms,improvement,passed,correctness,source
ipb_dev_009,fuzzy,claude-haiku-4-5-20251001,0.1957,N/A,N/A,N/A,results
ipb_dev_009,fuzzy,claude-haiku-4-5-20251001,0.1667,N/A,N/A,N/A,results
ipb_dev_009,fuzzy,claude-haiku-4-5-20251001,0.1757,N/A,N/A,N/A,results
ipb_dev_009,fuzzy,claude-haiku-4-5-20251001,0.2026,N/A,N/A,N/A,results
ipb_dev_009,fuzzy,claude-haiku-4-5-20251001,0.1915,N/A,N/A,N/A,results
ipb_dev_009,misleading,claude-haiku-4-5-20251001,0.1804,N/A,N/A,N/A,results
ipb_dev_009,misleading,claude-haiku-4-5-20251001,0.2020,N/A,N/A,N/A,results
ipb_dev_009,misleading,claude-haiku-4-5-20251001,0.1854,N/A,N/A,N/A,results
ipb_dev_009,misleading,claude-haiku-4-5-20251001,0.1710,N/A,N/A,N/A,results
ipb_dev_009,misleading,claude-haiku-4-5-20251001,0.1847,N/A,N/A,N/A,results
ipb_dev_009,misleading,claude-haiku-4-5-20251001,0.1649,N/A,N/A,N/A,results
ipb_dev_009,misleading,claude-haiku-4-5-20251001,0.1699,N/A,N/A,N/A,results
ipb_dev_009,misleading,claude-haiku-4-5-20251001,0.1641,N/A,N/A,N/A,results
ipb_dev_009,misleading,claude-haiku-4-5-20251001,2.9235,N/A,N/A,N/A,results
ipb_dev_010,fuzzy,claude-haiku-4-5-20251001,0.0782,N/A,N/A,N/A,results
ipb_dev_010,fuzzy,claude-haiku-4-5-20251001,0.0682,N/A,N/A,N/A,results
ipb_dev_010,fuzzy,claude-haiku-4-5-20251001,2.4974,N/A,N/A,N/A,results
ipb_dev_010,fuzzy,claude-haiku-4-5-20251001,0.0542,N/A,N/A,N/A,results
ipb_dev_010,fuzzy,claude-haiku-4-5-20251001,0.0399,N/A,N/A,N/A,results
ipb_dev_010,fuzzy,claude-haiku-4-5-20251001,0.0764,N/A,N/A,N/A,results
ipb_dev_010,fuzzy,claude-haiku-4-5-20251001,0.0703,N/A,N/A,N/A,results
ipb_dev_010,misleading,claude-haiku-4-5-20251001,0.1150,N/A,N/A,N/A,results
ipb_dev_010,misleading,claude-haiku-4-5-20251001,0.0671,N/A,N/A,N/A,results
ipb_dev_010,misleading,claude-haiku-4-5-20251001,0.0689,N/A,N/A,N/A,results
ipb_dev_010,misleading,claude-haiku-4-5-20251001,0.5072,N/A,N/A,N/A,results
ipb_dev_010,misleading,claude-haiku-4-5-20251001,0.0516,N/A,N/A,N/A,results
ipb_dev_010,misleading,claude-haiku-4-5-20251001,0.0414,N/A,N/A,N/A,results
ipb_dev_010,misleading,claude-haiku-4-5-20251001,0.1144,N/A,N/A,N/A,results
ipb_dev_010,misleading,claude-haiku-4-5-20251001,0.2878,N/A,N/A,N/A,results
ipb_dev_010,misleading,claude-haiku-4-5-20251001,0.0414,N/A,N/A,N/A,results
ipb_dev_010,misleading,claude-haiku-4-5-20251001,0.0450,N/A,N/A,N/A,results
ipb_dev_015,misleading,claude-haiku-4-5-20251001,0.1577,N/A,N/A,N/A,results
ipb_dev_015,misleading,claude-haiku-4-5-20251001,0.1723,N/A,N/A,N/A,results
ipb_dev_015,misleading,claude-haiku-4-5-20251001,0.2235,N/A,N/A,N/A,results
ipb_dev_015,misleading,claude-haiku-4-5-20251001,0.1753,N/A,N/A,N/A,results
ipb_dev_015,misleading,claude-haiku-4-5-20251001,0.2259,N/A,N/A,N/A,results
ipb_dev_015,misleading,claude-haiku-4-5-20251001,0.2279,N/A,N/A,N/A,results
ipb_dev_026,misleading,claude-haiku-4-5-20251001,0.0194,N/A,N/A,N/A,results
ipb_dev_026,misleading,claude-haiku-4-5-20251001,0.0216,N/A,N/A,N/A,results
ipb_dev_026,misleading,claude-haiku-4-5-20251001,0.0217,N/A,N/A,N/A,results
ipb_dev_027,fuzzy,claude-opus-5,0.0705,N/A,N/A,N/A,results
ipb_dev_027,fuzzy,claude-opus-5,0.0710,N/A,N/A,N/A,results
ipb_dev_027,fuzzy,claude-opus-5,0.0789,N/A,N/A,N/A,results
ipb_dev_027,fuzzy,claude-opus-5,0.0804,N/A,N/A,N/A,results
ipb_dev_027,fuzzy,claude-opus-5,0.0780,N/A,N/A,N/A,results
ipb_dev_027,fuzzy,claude-opus-5,0.0699,N/A,N/A,N/A,results
ipb_dev_027,fuzzy,claude-opus-5,0.0713,N/A,N/A,N/A,results
ipb_dev_027,misleading,claude-haiku-4-5-20251001,0.1512,N/A,N/A,N/A,results
ipb_dev_027,misleading,claude-haiku-4-5-20251001,0.0685,N/A,N/A,N/A,results
ipb_dev_027,misleading,claude-haiku-4-5-20251001,0.2291,N/A,N/A,N/A,results
ipb_dev_027,misleading,claude-opus-5,0.0707,N/A,N/A,N/A,results
ipb_dev_027,misleading,claude-opus-5,0.0776,N/A,N/A,N/A,results
ipb_dev_027,misleading,claude-opus-5,0.0696,N/A,N/A,N/A,results
ipb_dev_027,misleading,claude-opus-5,0.0451,N/A,N/A,N/A,results
ipb_dev_027,misleading,claude-opus-5,0.0765,N/A,N/A,N/A,results
ipb_dev_027,misleading,claude-opus-5,0.0773,N/A,N/A,N/A,results
ipb_dev_027,misleading,claude-opus-5,0.0768,N/A,N/A,N/A,results
ipb_dev_031,fuzzy,claude-opus-5,0.0176,N/A,N/A,N/A,results
ipb_dev_031,fuzzy,claude-opus-5,0.0188,N/A,N/A,N/A,results
ipb_dev_031,fuzzy,claude-opus-5,0.0196,N/A,N/A,N/A,results
ipb_dev_031,misleading,claude-opus-5,0.0183,N/A,N/A,N/A,results
ipb_dev_031,misleading,claude-opus-5,0.0197,N/A,N/A,N/A,results
ipb_dev_031,misleading,claude-opus-5,0.0197,N/A,N/A,N/A,results
ipb_dev_033,misleading,claude-haiku-4-5-20251001,0.0416,N/A,N/A,N/A,results
ipb_dev_033,misleading,claude-haiku-4-5-20251001,0.0525,N/A,N/A,N/A,results
ipb_dev_033,misleading,claude-haiku-4-5-20251001,0.0301,N/A,N/A,N/A,results
ipb_dev_034,misleading,claude-haiku-4-5-20251001,0.0259,N/A,N/A,N/A,results
ipb_dev_034,misleading,claude-haiku-4-5-20251001,0.0374,N/A,N/A,N/A,results
ipb_dev_034,misleading,claude-haiku-4-5-20251001,0.0291,N/A,N/A,N/A,results
ipb_dev_035,fuzzy,claude-opus-5,0.0274,N/A,N/A,N/A,results
ipb_dev_035,fuzzy,claude-opus-5,0.0237,N/A,N/A,N/A,results
ipb_dev_035,fuzzy,claude-opus-5,0.0253,N/A,N/A,N/A,results
ipb_dev_035,fuzzy,claude-opus-5,0.0249,N/A,N/A,N/A,results
ipb_dev_035,misleading,claude-opus-5,0.0280,N/A,N/A,N/A,results
ipb_dev_035,misleading,claude-opus-5,0.0235,N/A,N/A,N/A,results
ipb_dev_035,misleading,claude-opus-5,0.0271,N/A,N/A,N/A,results
ipb_dev_036,fuzzy,claude-opus-5,0.1072,N/A,N/A,N/A,results
ipb_dev_036,fuzzy,claude-opus-5,0.1073,N/A,N/A,N/A,results
ipb_dev_036,fuzzy,claude-opus-5,0.1083,N/A,N/A,N/A,results
ipb_dev_036,fuzzy,claude-opus-5,0.1106,N/A,N/A,N/A,results
ipb_dev_036,fuzzy,claude-opus-5,0.1021,N/A,N/A,N/A,results
ipb_dev_036,fuzzy,claude-opus-5,0.1216,N/A,N/A,N/A,results
ipb_dev_036,fuzzy,claude-opus-5,0.1109,N/A,N/A,N/A,results
ipb_dev_036,fuzzy,claude-opus-5,0.1095,N/A,N/A,N/A,results
ipb_dev_036,fuzzy,claude-opus-5,0.1080,N/A,N/A,N/A,results
ipb_dev_036,misleading,claude-opus-5,0.1077,N/A,N/A,N/A,results
ipb_dev_036,misleading,claude-opus-5,0.1075,N/A,N/A,N/A,results
ipb_dev_036,misleading,claude-opus-5,0.1116,N/A,N/A,N/A,results
ipb_dev_036,misleading,claude-opus-5,0.1054,N/A,N/A,N/A,results
ipb_dev_036,misleading,claude-opus-5,0.1043,N/A,N/A,N/A,results
ipb_dev_036,misleading,claude-opus-5,0.1116,N/A,N/A,N/A,results
ipb_dev_036,misleading,claude-opus-5,0.1078,N/A,N/A,N/A,results
ipb_dev_036,misleading,claude-opus-5,0.1083,N/A,N/A,N/A,results
ipb_dev_036,misleading,claude-opus-5,0.1054,N/A,N/A,N/A,results
ipb_dev_037,fuzzy,claude-opus-5,0.1877,N/A,N/A,N/A,results
ipb_dev_037,fuzzy,claude-opus-5,0.1962,N/A,N/A,N/A,results
ipb_dev_037,fuzzy,claude-opus-5,0.0377,N/A,N/A,N/A,results
ipb_dev_037,fuzzy,claude-opus-5,0.1933,N/A,N/A,N/A,results
ipb_dev_037,fuzzy,claude-opus-5,0.0462,N/A,N/A,N/A,results
ipb_dev_037,misleading,claude-opus-5,0.0375,N/A,N/A,N/A,results
ipb_dev_037,misleading,claude-opus-5,0.0446,N/A,N/A,N/A,results
ipb_dev_037,misleading,claude-opus-5,0.0434,N/A,N/A,N/A,results
ipb_dev_037,misleading,claude-opus-5,0.0483,N/A,N/A,N/A,results
ipb_dev_037,misleading,claude-opus-5,0.1438,N/A,N/A,N/A,results
ipb_dev_038,fuzzy,claude-opus-5,0.0341,N/A,N/A,N/A,results
ipb_dev_038,fuzzy,claude-opus-5,0.2311,N/A,N/A,N/A,results
ipb_dev_038,fuzzy,claude-opus-5,0.2263,N/A,N/A,N/A,results
ipb_dev_038,fuzzy,claude-opus-5,0.0339,N/A,N/A,N/A,results
ipb_dev_038,fuzzy,claude-opus-5,0.2328,N/A,N/A,N/A,results
ipb_dev_038,fuzzy,claude-opus-5,0.2313,N/A,N/A,N/A,results
ipb_dev_038,fuzzy,claude-opus-5,0.2344,N/A,N/A,N/A,results
ipb_dev_038,fuzzy,claude-opus-5,0.2339,N/A,N/A,N/A,results
ipb_dev_038,fuzzy,claude-opus-5,0.0326,N/A,N/A,N/A,results
ipb_dev_038,fuzzy,claude-opus-5,0.2329,N/A,N/A,N/A,results
ipb_dev_038,misleading,claude-opus-5,0.0339,N/A,N/A,N/A,results
ipb_dev_038,misleading,claude-opus-5,0.0794,N/A,N/A,N/A,results
ipb_dev_038,misleading,claude-opus-5,0.2349,N/A,N/A,N/A,results
ipb_dev_038,misleading,claude-opus-5,0.2330,N/A,N/A,N/A,results
ipb_dev_038,misleading,claude-opus-5,0.0283,N/A,N/A,N/A,results
ipb_dev_038,misleading,claude-opus-5,0.0338,N/A,N/A,N/A,results
ipb_dev_038,misleading,claude-opus-5,0.2285,N/A,N/A,N/A,results
ipb_dev_038,misleading,claude-opus-5,0.0311,N/A,N/A,N/A,results
ipb_dev_038,misleading,claude-opus-5,0.0330,N/A,N/A,N/A,results
ipb_dev_038,misleading,claude-opus-5,0.0333,N/A,N/A,N/A,results
ipb_dev_039,fuzzy,claude-opus-5,0.3706,N/A,N/A,N/A,results
ipb_dev_039,fuzzy,claude-opus-5,3.5017,N/A,N/A,N/A,results
ipb_dev_039,fuzzy,claude-opus-5,0.2791,N/A,N/A,N/A,results
ipb_dev_039,misleading,claude-opus-5,0.2813,N/A,N/A,N/A,results
ipb_dev_039,misleading,claude-opus-5,0.2828,N/A,N/A,N/A,results
ipb_dev_039,misleading,claude-opus-5,0.3659,N/A,N/A,N/A,results
ipb_dev_040,fuzzy,claude-opus-5,0.5303,N/A,N/A,N/A,results
ipb_dev_040,fuzzy,claude-opus-5,0.4159,N/A,N/A,N/A,results
ipb_dev_040,misleading,claude-opus-5,0.4570,N/A,N/A,N/A,results
ipb_dev_040,misleading,claude-opus-5,0.4513,N/A,N/A,N/A,results
ipb_dev_040,misleading,claude-opus-5,0.4591,N/A,N/A,N/A,results
ipb_dev_041,fuzzy,claude-opus-5,0.5430,N/A,N/A,N/A,results
ipb_dev_041,fuzzy,claude-opus-5,0.5040,N/A,N/A,N/A,results
ipb_dev_041,fuzzy,claude-opus-5,0.5100,N/A,N/A,N/A,results
ipb_dev_041,fuzzy,claude-opus-5,0.5610,N/A,N/A,N/A,results
ipb_dev_041,fuzzy,claude-opus-5,0.7640,N/A,N/A,N/A,results
ipb_dev_041,misleading,claude-opus-5,0.4780,N/A,N/A,N/A,results
ipb_dev_041,misleading,claude-opus-5,0.4880,N/A,N/A,N/A,results
ipb_dev_041,misleading,claude-opus-5,0.5710,N/A,N/A,N/A,results
ipb_dev_041,misleading,claude-opus-5,0.5490,N/A,N/A,N/A,results
